tokens;ner_tags
Notiere eine Körpertemperatur von 37,8 Grad Celsius für Frau Herberl;['B-Action', 'O', 'B-Entity', 'O', 'B-Entity', 'I-Entity', 'B-Entity', 'O', 'B-Person', 'I-Person']
Notiere eine Körpertemperatur von 40 Grad Celsius für Herrn Zehetner;['B-Action', 'O', 'B-Entity', 'O', 'B-Entity', 'I-Entity', 'B-Entity', 'O', 'B-Person', 'I-Person']
Ergänze eine Atemfrequenz von 20 mit der Notiz: Patient entspannt;['B-Action', 'O', 'B-Entity', 'O', 'B-Entity', 'O', 'O', 'B-Action', 'O', 'B-Person', 'B-Entity']
Ergänze eine Atemfrequenz von 21 mit der Notiz: Klientin entspannt;['B-Action', 'O', 'B-Entity', 'O', 'B-Entity', 'O', 'O', 'B-Action', 'O', 'B-Person', 'B-Entity']
Ergänze eine Atemfrequenz von 19 mit der Notiz: Patientin entspannt;['B-Action', 'O', 'B-Entity', 'O', 'B-Entity', 'O', 'O', 'B-Action', 'O', 'B-Person', 'B-Entity']
Ergänze eine Atemfrequenz von 20 mit der Notiz: Klient entspannt;['B-Action', 'O', 'B-Entity', 'O', 'B-Entity', 'O', 'O', 'B-Action', 'O', 'B-Person', 'B-Entity']
Notiere eine kritische Sauerstoffsättigung von 89 %;['B-Action', 'O', 'B-Entity', 'B-Entity', 'O', 'B-Entity', 'B-Entity']
Notiere eine kritische Sauerstoffsättigung von 89 %;['B-Action', 'O', 'B-Entity', 'B-Entity', 'O', 'B-Entity', 'B-Entity']
Speichere eine Sauerstoffsättigung von 95 % für Julia Turmüller;['B-Action', 'O', 'B-Entity', 'O', 'B-Entity', 'B-Entity', 'O', 'B-Person', 'I-Person']
Speichere eine Sauerstoffsättigung von 94 % für Herbert Leuchtner;['B-Action', 'O', 'B-Entity', 'O', 'B-Entity', 'B-Entity', 'O', 'B-Person', 'I-Person']
Ergänze die Blutzuckerwerte von Julian Meyer mit 143 mg/dL;['B-Action', 'O', 'B-Entity', 'O', 'B-Person', 'I-Person', 'O', 'B-Entity', 'B-Entity', 'B-Entity', 'B-Entity']
Notiere die Blutzuckerwerte von Hermine Wattson mit 145 mg/dL;['B-Action', 'O', 'B-Entity', 'O', 'B-Person', 'I-Person', 'O', 'B-Entity', 'B-Entity', 'B-Entity', 'B-Entity']
Erfasse, dass die Patientin heute Fieber hatte, 38,5 Grad Celsius;['B-Action', 'B-Action', 'O', 'O', 'B-Person', 'B-Time', 'B-Entity', 'O', 'B-Entity', 'B-Entity', 'B-Entity', 'B-Entity', 'I-Entity', 'B-Entity']
Erfasse, dass der Klient heute Fieber hatte, 39 Grad Celsius;['B-Action', 'B-Action', 'O', 'O', 'B-Person', 'B-Time', 'B-Entity', 'O', 'B-Action', 'B-Entity', 'I-Entity', 'B-Entity']
Notiere, dass der Patient heute Fieber hatte, 38,8 Grad Celsius;['B-Action', 'B-Action', 'O', 'O', 'B-Person', 'B-Time', 'B-Entity', 'O', 'O', 'B-Entity', 'B-Entity', 'B-Entity', 'I-Entity', 'B-Entity']
Notiere, dass die Klientin heute Fieber hatte, 39,5 Grad Celsius;['B-Action', 'B-Action', 'O', 'O', 'B-Person', 'B-Time', 'B-Entity', 'O', 'B-Action', 'B-Entity', 'B-Entity', 'B-Entity', 'I-Entity', 'B-Entity']
Trage eine Atemfrequenz von 18 Atemzügen pro Minute für Herrn Oppenheimer ein;['B-Action', 'O', 'B-Entity', 'O', 'B-Entity', 'B-Entity', 'O', 'B-Entity', 'O', 'B-Person', 'I-Person', 'O']
Trage eine Atemfrequenz von 15 Atemzügen pro Minute für Frau Barbarossa ein;['B-Action', 'O', 'B-Entity', 'O', 'B-Entity', 'B-Entity', 'O', 'B-Entity', 'O', 'B-Person', 'I-Person', 'O']
Notiere eine Atemfrequenz von 16 Atemzügen pro Minute für den Patienten;['B-Action', 'O', 'B-Entity', 'O', 'B-Entity', 'B-Entity', 'O', 'B-Entity', 'O', 'O', 'B-Person']
Notiere eine Atemfrequenz von 19 Atemzügen pro Minute für den Klienten;['B-Action', 'O', 'B-Entity', 'O', 'B-Entity', 'B-Entity', 'O', 'B-Entity', 'O', 'O', 'B-Person']
Notiere eine Atemfrequenz von 15 Atemzügen pro Minute für die Patienten;['B-Action', 'O', 'B-Entity', 'O', 'B-Entity', 'B-Entity', 'O', 'B-Entity', 'O', 'O', 'B-Person']
Notiere eine Atemfrequenz von 17 Atemzügen pro Minute für die Klientin;['B-Action', 'O', 'B-Entity', 'O', 'B-Entity', 'B-Entity', 'O', 'B-Entity', 'O', 'O', 'B-Person']
Speichere die Herzfrequenz als unregelmäßig;['B-Action', 'O', 'B-Entity', 'O', 'B-Entity']
Notiere die Herzfrequenz als unregelmäßig;['B-Action', 'O', 'B-Entity', 'O', 'B-Entity']
Notiere Herzfrequenz unregelmäßig;['B-Action', 'B-Entity', 'B-Entity']
Speichere die Herzfrequenz als regelmäßig;['B-Action', 'O', 'B-Entity', 'O', 'B-Entity']
Notiere die Herzfrequenz als regelmäßig;['B-Action', 'O', 'B-Entity', 'O', 'B-Entity']
Notiere Herzfrequenz ist regelmäßig;['B-Action', 'B-Entity', 'O', 'B-Entity']
Notiere den systolischen Blutdruck mit 130 und den diastolischen mit 85;['B-Action', 'O', 'B-Entity', 'B-Entity', 'O', 'B-Entity', 'O', 'O', 'B-Entity', 'O', 'B-Entity']
Erfasse den systolischen Blutdruck mit 125 und diastolischen mit 90;['B-Action', 'O', 'B-Entity', 'B-Entity', 'O', 'B-Entity', 'O', 'B-Entity', 'O', 'B-Entity']
Dokumentiere erhörten Blutdruck bei der Patientin;['B-Action', 'O', 'B-Entity', 'O', 'O', 'B-Person']
Dokumentiere erhörten Blutdruck bei dem Klienten;['B-Action', 'O', 'B-Entity', 'O', 'O', 'B-Person']
Erfasse verringerten Blutdruck bei der Klientin;['B-Action', 'O', 'B-Entity', 'O', 'O', 'B-Person']
Erfasse verringerten Blutdruck beim Patienten;['B-Action', 'O', 'B-Entity', 'O', 'B-Person']
Bitte füge eine Notiz hinzu Vitalparameter stabil, keine Auffälligkeiten;['O', 'B-Action', 'O', 'B-Action', 'O', 'B-Entity', 'B-Entity', 'B-Action', 'O', 'B-Entity']
Füge die Notiz hinzu Vitalparameter stabil, keine Auffälligkeiten;['B-Action', 'O', 'B-Action', 'O', 'B-Entity', 'B-Entity', 'B-Action', 'O', 'B-Entity']
Notiz erfassen Vitalparameter stabil, keine Auffälligkeiten;['B-Action', 'B-Action', 'B-Entity', 'B-Entity', 'B-Action', 'O', 'B-Entity']
Dokumentiere Keine Vitalparameteränderungen bei Frau Huebner;['B-Action', 'O', 'B-Entity', 'O', 'B-Person', 'I-Person']
Dokumentiere Keine Vitalparameteränderungen bei Herr Trembler;['B-Action', 'O', 'B-Entity', 'O', 'B-Person', 'I-Person']
Notiz erfassen Keine Vitalparameteränderungen bei Frau Huebner;['B-Action', 'B-Action', 'O', 'B-Entity', 'O', 'B-Person', 'I-Person']
Notiz erfassen Keine Vitalparameteränderungen bei Herr Trembler;['B-Action', 'B-Action', 'O', 'B-Entity', 'O', 'B-Person', 'I-Person']
Notiz erfassen Keine Vitalparameteränderungen beim Patienten;['B-Action', 'B-Action', 'O', 'B-Entity', 'O', 'B-Person']
Dokumentiere Keine Vitalparameteränderungen bei der Patientin;['B-Action', 'O', 'B-Entity', 'O', 'O', 'B-Person']
Welche Vitalwerte fehlen noch in der heutigen Dokumentation;['O', 'B-Entity', 'O', 'O', 'O', 'O', 'B-Time', 'B-Entity']
Welche Vitalwerte fehlen in der heutigen Dokumentation;['O', 'B-Entity', 'O', 'O', 'O', 'B-Time', 'B-Entity']
Welche Vitaparameter müssen noch erfasst werden;['O', 'B-Entity', 'O', 'O', 'B-Entity', 'O']
Welche Vitaparameter müssen noch für den Patienten erfasst werden;['O', 'B-Entity', 'O', 'O', 'O', 'O', 'B-Person', 'B-Entity', 'O']
Welche Vitaparameter müssen noch für die Patientin erfasst werden;['O', 'B-Entity', 'O', 'O', 'O', 'O', 'B-Person', 'B-Entity', 'O']
Welche Vitaparameter müssen noch für den Klienten erfasst werden;['O', 'B-Entity', 'O', 'O', 'O', 'O', 'B-Person', 'B-Entity', 'O']
Welche Vitaparameter müssen noch für die Klientin erfasst werden;['O', 'B-Entity', 'O', 'O', 'O', 'O', 'B-Person', 'B-Entity', 'O']
Dokumentiere Körpertemperatur 37,2 Grad Celsius für Patient, heute um 9:15 Uhr;['B-Action', 'B-Entity', 'B-Entity', 'B-Entity', 'B-Entity', 'I-Entity', 'B-Entity', 'O', 'B-Person', 'O', 'B-Time', 'O', 'B-Time', 'B-Time', 'B-Time', 'I-Time']
Wann wurde das letzte Mal die Körpertemperatur des Patienten gemessen;['B-Time', 'O', 'O', 'B-Time', 'I-Time', 'O', 'B-Entity', 'O', 'B-Person', 'B-Entity']
Wann wurde das letzte Mal die Körpertemperatur der Patientin gemessen;['B-Time', 'O', 'O', 'B-Time', 'I-Time', 'O', 'B-Entity', 'O', 'B-Person', 'B-Entity']
Wann wurde das letzte Mal die Körpertemperatur des Klienten gemessen;['B-Time', 'O', 'O', 'B-Time', 'I-Time', 'O', 'B-Entity', 'O', 'B-Person', 'B-Entity']
Wann wurde das letzte Mal die Körpertemperatur der Klientin gemessen;['B-Time', 'O', 'O', 'B-Time', 'I-Time', 'O', 'B-Entity', 'O', 'B-Person', 'B-Entity']
Welche Temperatur wurde das letzte Mal für die Patientin gemessen;['O', 'B-Entity', 'O', 'O', 'B-Time', 'I-Time', 'O', 'O', 'B-Person', 'B-Entity']
Welche Temperatur wurde das letzte Mal für die Klientin gemessen;['O', 'B-Entity', 'O', 'O', 'B-Time', 'I-Time', 'O', 'O', 'B-Person', 'B-Entity']
Welche Temperatur wurde das letzte Mal für den Patienten gemessen;['O', 'B-Entity', 'O', 'O', 'B-Time', 'I-Time', 'O', 'O', 'B-Person', 'B-Entity']
Welche Körpertemperatur wurde das letzte Mal für die Patientin gemessen;['O', 'B-Entity', 'O', 'O', 'B-Time', 'I-Time', 'O', 'O', 'B-Person', 'B-Entity']
Welche Körpertemperatur wurde das letzte Mal für den Klienten gemessen;['O', 'B-Entity', 'O', 'O', 'B-Time', 'I-Time', 'O', 'O', 'B-Person', 'B-Entity']
Welche Vitalparameterwerte müssen erfasst werden;['O', 'B-Entity', 'O', 'B-Entity', 'O']
Welche Werte sollen für die Patientin erfasst werden;['O', 'B-Entity', 'O', 'O', 'O', 'B-Person', 'B-Entity', 'O']
Welche Parameterwerte sollen für den Patienten erfasst werden;['O', 'B-Entity', 'O', 'O', 'O', 'B-Person', 'B-Entity', 'O']
Erfasse eine neue Wunde für den Patienten;['B-Action', 'O', 'O', 'B-Entity', 'O', 'O', 'B-Person']
Erfasse eine neue Wunde für die Patientin;['B-Action', 'O', 'O', 'B-Entity', 'O', 'O', 'B-Person']
Erfasse eine neue Wunde für die Klientin;['B-Action', 'O', 'O', 'B-Entity', 'O', 'O', 'B-Person']
Erfasse eine neue Wunde für den Klienten;['B-Action', 'O', 'O', 'B-Entity', 'O', 'O', 'B-Person']
Neue Wunde für Frau Jamberle anlegen;['O', 'B-Entity', 'O', 'B-Person', 'I-Person', 'B-Action']
Neue Wunde für Herr Lechner anlegen;['O', 'B-Entity', 'O', 'B-Person', 'I-Person', 'B-Action']
Welche Vitalparameterwerte müssen heute für Frau Jenner erfasst werden;['O', 'B-Entity', 'O', 'B-Time', 'O', 'B-Person', 'I-Person', 'B-Entity', 'O']
Welche Werte sollen für die Frau Tempest erfasst werden;['O', 'B-Entity', 'O', 'O', 'O', 'B-Person', 'I-Person', 'B-Entity', 'O']
Welche Parameterwerte sollen für Frau Kanasawa erfasst werden;['O', 'B-Entity', 'O', 'O', 'B-Person', 'I-Person', 'B-Entity', 'O']
Welche Vitalparameterwerte müssen heute für Herrn Kitsune erfasst werden;['O', 'B-Entity', 'O', 'B-Time', 'O', 'B-Person', 'I-Person', 'B-Entity', 'O']
Welche Werte sollen für Herr Kinnobawa erfasst werden;['O', 'B-Entity', 'O', 'O', 'B-Person', 'I-Person', 'B-Entity', 'O']
Welche Parameterwerte sollen für Herrn Tuloose erfasst werden;['O', 'B-Entity', 'O', 'O', 'B-Person', 'I-Person', 'B-Entity', 'O']
Erfasse die Notiz Sauerstoffsättigung 94 %, keine Beschwerden;['B-Action', 'O', 'B-Action', 'B-Entity', 'B-Entity', 'B-Entity', 'B-Action', 'O', 'B-Entity']
Erfasse Sauerstoffsättigung 92 %, keine Beschwerden;['B-Action', 'B-Entity', 'B-Entity', 'B-Entity', 'B-Action', 'O', 'B-Entity']
Sind alle relevanten Werte für die Patientin für heute erfasst worden;['O', 'B-Entity', 'B-Entity', 'B-Entity', 'O', 'O', 'B-Person', 'O', 'B-Time', 'B-Entity', 'O']
Sind alle relevanten Werte für die Klientin erfasst worden;['O', 'B-Entity', 'B-Entity', 'B-Entity', 'O', 'O', 'B-Person', 'B-Entity', 'O']
Sind alle relevanten Werte für den Klienten für heute erfasst worden;['O', 'B-Entity', 'B-Entity', 'B-Entity', 'O', 'O', 'B-Person', 'O', 'B-Time', 'B-Entity', 'O']
Sind alle relevanten Werte für den Patienten erfasst worden;['O', 'B-Entity', 'B-Entity', 'B-Entity', 'O', 'O', 'B-Person', 'B-Entity', 'O']
Sind alle Vitalparameterwerte für heute erfasst;['O', 'B-Entity', 'B-Entity', 'O', 'B-Time', 'B-Entity']
Sind alle Vitalparameterwerte für heute eingetragen;['O', 'B-Entity', 'B-Entity', 'O', 'B-Time', 'B-Entity']
Sind alle Parameterwerte für heute erfasst;['O', 'B-Entity', 'B-Entity', 'O', 'B-Time', 'B-Entity']
Sind alle Parameterwerte für heute eingetragen;['O', 'B-Entity', 'B-Entity', 'O', 'B-Time', 'B-Entity']
Sind alle Werte für heute erfasst worden;['O', 'B-Entity', 'B-Entity', 'O', 'B-Time', 'B-Entity', 'O']
Sind alle Werte für heute eingetragen worden;['O', 'B-Entity', 'B-Entity', 'O', 'B-Time', 'B-Entity', 'O']
Fehlen noch Vitalparameterwerte für die Patientin;['B-Action', 'O', 'B-Entity', 'O', 'O', 'B-Person']
Fehlen noch Vitalparameterwerte für die Klientin;['B-Action', 'O', 'B-Entity', 'O', 'O', 'B-Person']
Fehlen noch Vitalparameterwerte für den Patienten;['B-Action', 'O', 'B-Entity', 'O', 'O', 'B-Person']
Fehlen noch Vitalparameterwerte für den Klienten;['B-Action', 'O', 'B-Entity', 'O', 'O', 'B-Person']
Fehlen noch Vitalparameterwerte;['B-Action', 'O', 'B-Entity']
Fehlen noch Vitalparameterwerte;['B-Action', 'O', 'B-Entity']
Wurden alle Werte für Frau Hubner eingetragen;['O', 'B-Entity', 'B-Entity', 'O', 'B-Person', 'I-Person', 'B-Entity']
Sind die für Herrn Zetterer eingetragenen Werte vollständig;['O', 'O', 'O', 'B-Person', 'I-Person', 'B-Entity', 'I-Entity', 'B-Entity']
Wurden alle Werte für Herrn Wahlmüller eingetragen;['O', 'B-Entity', 'B-Entity', 'O', 'B-Person', 'I-Person', 'B-Entity']
Sind die für Frau Jerocher eingetragenen Werte vollständig;['O', 'O', 'O', 'B-Person', 'I-Person', 'B-Entity', 'I-Entity', 'B-Entity']
Wurden alle Vitalparameterwerte für Frau Gerstecker eingetragen;['O', 'B-Entity', 'B-Entity', 'O', 'B-Person', 'I-Person', 'B-Entity']
Sind die für Herrn Presephonee eingetragenen Vitalparameterwerte vollständig;['O', 'O', 'O', 'B-Person', 'I-Person', 'B-Entity', 'I-Entity', 'B-Entity']
Wurden alle Vitalparameterwerte für Herrn Quioxing eingetragen;['O', 'B-Entity', 'B-Entity', 'O', 'B-Person', 'I-Person', 'B-Entity']
Sind die für Frau Yapper eingetragenen Vitalparameterwerte vollständig;['O', 'O', 'O', 'B-Person', 'I-Person', 'B-Entity', 'I-Entity', 'B-Entity']
Wurden alle Parameterwerte für die Patientin eingetragen;['O', 'B-Entity', 'B-Entity', 'O', 'O', 'B-Person', 'B-Entity']
Sind die für den Patienten eingetragenen Parameterwerte vollständig;['O', 'O', 'O', 'O', 'B-Person', 'B-Entity', 'I-Entity', 'B-Entity']
Wurden alle Parameterwerte für den Klienten eingetragen;['O', 'B-Entity', 'B-Entity', 'O', 'O', 'B-Person', 'B-Entity']
Sind die für die Klientin eingetragenen Parameterwerte vollständig;['O', 'O', 'O', 'O', 'B-Person', 'B-Entity', 'I-Entity', 'B-Entity']
